Ticker,銘柄名
1726,ビーアールＨＬＤＧ
1736,オーテック
1738,ＮＩＴＴＯＨ
173A,ハンモック
1743,コーアツ工業
1757,創建エース
1758,太洋基礎工業
175A,Ｗｉｌｌ　Ｓｍａｒｔ
1762,高松コンストラクショングループ
1764,工藤建設
1766,東建コーポレーション
1768,ソネック
176A,レジル
1770,藤田エンジニアリング
1771,日本乾溜工業
1773,ワイ・ティー・エル
1776,三井住建道路
1777,川崎設備工業
177A,コージンバイオ
1780,ヤマウラ
1783,ｆａｎｔａｓｉｓｔａ
1786,オリエンタル白石
1787,ナカボーテック
1788,三東工業社
178A,ＧＸ　革新的優良企業
1793,大本組
1795,マサル
1798,守谷商会
1799,第一建設工業
179A,ＧＸ　超長期米国債　有
1801,大成建設
1802,大林組
1803,清水建設
1807,佐藤渡辺
1808,長谷工コーポレーション
180A,ＧＸ　 超長期米国債
1810,松井建設
1811,錢高組
1812,鹿島建設
1813,不動テトラ
1814,大末建設
1815,鉄建建設
181A,ＭＸＳ米国国債１−３ヘッジなし
1820,西松建設
1821,三井住友建設
1822,大豊建設
1826,佐田建設
1827,ナカノフドー建設
1828,田辺工業
182A,ＭＸＳ米国国債２０年超ヘッジ無
1832,北海電工
1833,奥村組
1835,東鉄工業
183A,ＭＸＳ米国国債２０年超ヘッジ有
1840,土屋ＨＬＤＧ
1841,サンユー建設
1844,大盛工業
1847,イチケン
1848,富士ピー・エス
184A,学びエイド
1850,南海辰村建設
1852,淺沼組
1853,森組
1860,戸田建設
1861,熊谷組
1866,北野建設
1867,植木組
1869,名工建設
186A,アストロスケールＨＬＤＧ
1870,矢作建設工業
1871,ピーエス・コンストラクション
1873,日本ハウスＨＬＤＧ
1878,大東建託
1879,新日本建設
1882,東亜道路工業
1884,日本道路
1885,東亜建設工業
1887,日本国土開発
1888,若築建設
188A,ＧＸ　インド・トップ１０＋
1890,東洋建設
1892,徳倉建設
1893,五洋建設
1897,金下建設
1898,世紀東急工業
1899,福田組
189A,Ｄ＆Ｍカンパニー
1904,大成温調
1905,テノックス
1909,日本ドライケミカル
190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅ
